Urban area,Size,Latitude,Longitude,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,Population,College,High school,No high school,Has rapid transit
"Decatur, IL",62.258,39.845729,-88.937174,0.9069486721948148,0.010260312795213604,511,0.9566443263230876,0.8009707391485231,665,0.4853,88891,0.2282904614978468,0.6821489266916363,0.08956061181051694,No
"DeKalb, IL",26.054,41.954681,-88.726242,0.8935712605437376,0.038612763383405586,764,0.9335818834576084,0.8537708693149108,816,0.4545,65593,0.3306425220901058,0.5946601941747572,0.0746972837351369,No
"Deltona, FL",100.206,28.992618,-81.260581,0.917622955817612,0.011694979329520372,1930,0.8956600712266702,0.7981279461279461,1039,0.4161,197370,0.2144619513462038,0.6784477534412605,0.10709029521253571,No
"Denton--Lewisville, TX",148.003,33.093039000000005,-97.066276,0.8819204981911131,0.017611555464355336,12931,0.8902460215178326,0.9352087114337568,1142,0.4358,417319,0.46763231156903234,0.44752469436935366,0.08484299406161397,Yes
"Denver--Aurora, CO",681.506,39.710774,-104.955096,0.8298108496221059,0.02077779363395262,72559,0.9257287566572875,0.8911600078709323,1354,0.4476,2677686,0.4359313428886821,0.4719997484293097,0.09206890868200814,Yes
"Des Moines, IA",202.26700000000002,41.619352,-93.656127,0.9062607172826443,0.018931737750373965,11995,0.9540422216966977,0.8488217164175352,888,0.4398,507350,0.38078588028914856,0.5341849870670752,0.08502913264377623,No
"Detroit, MI",1372.613,42.489752,-83.227211,0.9214823615458984,0.014766559108793898,55553,0.9482178099428182,0.824462333698249,902,0.4861,3738864,0.3148242108841454,0.5811016089501803,0.10407418016567431,Yes
"Dothan, AL",55.620000000000005,31.22612,-85.425301,0.9644341150785266,0.00521163462215649,174,0.8995417181930603,0.7760358771896202,717,0.4967,69487,0.2474913531747726,0.6301507323113711,0.12235791451385628,No
"Dover, DE",74.908,39.147328,-75.54383100000001,0.895986640485934,0.019837410309581048,1045,0.9309474451161863,0.8915591752189059,977,0.4365,120792,0.2748881190438031,0.6158568910039082,0.10925498995228879,No
"Dover--Rochester, NH--ME",68.559,43.226307,-70.899627,0.8931412514346776,0.0482645347686706,2225,0.9378252109027301,0.8637250322828804,1069,0.4179,91975,0.31102714191730907,0.5884010053811508,0.10057185270154012,No
"Dubuque, IA--IL",34.125,42.506228,-90.691052,0.9226308957161402,0.025241598153757393,1193,0.957041934209949,0.8228020014295926,756,0.4753,69588,0.3168276366452279,0.6054335434188732,0.07773881993589882,No
"Duluth, MN--WI",79.209,46.765574,-92.12902,0.8399739795088632,0.0703854285249634,1139,0.9511505269166219,0.8301785180013962,793,0.4436,119826,0.3454437791959997,0.5989604579248635,0.055595762879136784,No
"Durham, NC",183.26399999999998,35.980955,-78.947743,0.8327400875711642,0.033142550889363034,11631,0.8884332949114786,0.8537342586783434,1038,0.4946,388890,0.5341653812726576,0.3532693376762686,0.11256528105107386,Yes
"Eau Claire, WI",73.76299999999999,44.860855,-91.447201,0.8837932782215076,0.02799867172343884,1914,0.9376354215732454,0.8684192634560907,769,0.4346,107454,0.3260706897310621,0.6154466892615579,0.05848262100738002,No
"El Centro--Calexico, CA",30.014,32.769055,-115.54634899999999,0.8859933290139899,0.013389964725361745,1005,0.9396080815244463,0.8199381205928911,811,0.4932,119801,0.16968161070818516,0.5704264792360897,0.25989191005572515,No
"Elizabethtown--Radcliff, KY",57.464999999999996,37.788405,-85.92103,0.9276169853174184,0.035438892996725466,604,0.9494598286352912,0.7198970349890361,789,0.5033,77875,0.2365698640852645,0.6926371369903197,0.07079299892441576,No
"Elkhart, IN--MI",94.77799999999999,41.658246999999996,-85.926438,0.9170243204577968,0.029875506042066173,685,0.9037829517562714,0.8245297271404094,766,0.4301,145643,0.19552603533097218,0.6101213223816649,0.19435264228736288,No
"Elmira, NY",38.319,42.071566,-76.809034,0.8802329187196362,0.045067704923681215,703,0.9582646811950135,0.84344616849875,801,0.4414,67981,0.2550683940689685,0.633714127683111,0.11121747824792053,No
"El Paso, TX--NM",251.874,31.780239,-106.389031,0.8964481347104695,0.014872957202306827,4705,0.7949949673468525,0.7826451453824707,810,0.4777,821773,0.21970640349227405,0.5564158656939509,0.22387773081377507,No
"El Paso de Robles (Paso Robles)--Atascadero, CA",31.735000000000003,35.453503000000005,-120.63381299999999,0.881373302587753,0.027386340991260284,934,0.9351961950059453,0.9013435551941766,1325,0.4116,69247,0.2575773644134303,0.6727257301631069,0.06969690542346278,No
"Erie, PA",82.38600000000001,42.08554,-80.114855,0.8989631644125003,0.034431682975985235,2154,0.9451936902986471,0.8129358392741413,738,0.4762,190749,0.2819119156480358,0.616263879817113,0.10182420453485116,No
"Eugene, OR",87.12999999999998,44.065995,-123.07663600000001,0.8096588467818167,0.05182529080440913,2427,0.9349599016212872,0.8583616333968359,947,0.4797,266588,0.3376841750084355,0.587481723090766,0.07483410190079856,No
"Evansville, IN--KY",120.083,37.978539000000005,-87.53739300000001,0.9285362842209823,0.018204773531131927,2843,0.9302316409433913,0.7995736477596108,740,0.4837,232426,0.2904587743016129,0.6058041567599104,0.10373706893847669,No
"Fairfield, CA",39.594,38.259143,-122.036061,0.9120160738465123,0.009376410465471805,1180,0.9612538123618456,0.9091085396599651,1624,0.4384,146497,0.27024056277871994,0.5888763268638905,0.14088311035738962,Yes
"Fargo, ND--MN",70.295,46.862421999999995,-96.82091199999999,0.8923074350592347,0.03427835697982593,4033,0.9388433647934366,0.8566111724235095,792,0.4441,201466,0.406012778340081,0.5504016953441295,0.04358552631578947,No
"Fayetteville, NC",200.29999999999998,35.052625,-78.97700400000001,0.8704555453345598,0.06483222013358397,1907,0.8984514109966006,0.8490377385656466,876,0.4365,327535,0.2515371020337042,0.6527618051925422,0.09570109277375352,Yes
"Fayetteville--Springdale--Rogers, AR--MO",190.203,36.267485,-94.179644,0.9428475916227296,0.014444985308693382,6968,0.8922160405404223,0.7103334958096825,820,0.4688,346117,0.3590830237776479,0.49651160598118155,0.1444053702411706,No
"Flagstaff, AZ",34.832,35.203032,-111.624792,0.8225916039796166,0.1041494782819704,934,0.9159632981015385,0.8259205588377364,1291,0.4892,79714,0.4734755167640365,0.48419793059759275,0.042326552638370755,No
"Flint, MI",243.14,42.988756,-83.694698,0.9369487425028981,0.01294577606255445,3398,0.9338462681024879,0.7476306874222737,727,0.4812,338600,0.21300484617431398,0.6956768286565498,0.09131832516913628,No
"Florence, AL",62.928999999999995,34.746933,-87.67246999999999,0.9580066866497579,0.007291906848051649,120,0.8847357440890126,0.7791106334775916,671,0.4653,81698,0.2695598578783264,0.6323689362627801,0.09807120585889348,No
"Florence, SC",71.576,34.203374,-79.810563,0.9005820664587273,0.013041235847434732,613,0.9105833842394624,0.7999505032172909,751,0.4768,92559,0.27868390129259696,0.5656560908734822,0.15566000783392087,No
"Fort Collins, CO",115.34700000000001,40.499545,-105.05883600000001,0.8210777581583938,0.02265384866915179,6980,0.9337584358033253,0.8888058290800983,1239,0.4468,298075,0.4652516207899947,0.4857929463637361,0.04895543284626918,Yes
"Fort Smith, AR--OK",71.75699999999999,35.307922,-94.413604,0.9328105091254958,0.015271970281571344,1153,0.8827712071294825,0.7584079049187484,639,0.4565,128360,0.1922640461646184,0.6242122799816501,0.18352367385373156,No
"Fort Walton Beach--Navarre--Wright, FL",130.69,30.432391,-86.669601,0.9058529371704318,0.0183585313174946,2629,0.8844621123370798,0.8645259580452361,1135,0.4281,212738,0.35657711982113216,0.5955215285070633,0.0479013516718046,Yes
"Fort Wayne, IN",172.549,41.100389,-85.138898,0.9330892966281322,0.011982939103522711,3395,0.9230853071418339,0.8589995154076534,737,0.4358,324416,0.26441144869434335,0.631330080038623,0.10425847126703365,No
"Frederick, MD",73.89599999999999,39.415817,-77.408163,0.889198941544383,0.02426028385855184,4334,0.9496582367201013,0.9279204216969903,1395,0.3929,157492,0.45865446069401106,0.4611921500808301,0.08015338922515884,Yes
"Fredericksburg, VA",78.614,38.282121999999994,-77.508156,0.8623786249592701,0.02851743238840013,3900,0.9225646733706916,0.9251808318264014,1325,0.4025,157564,0.3837546541250245,0.5366647070350774,0.0795806388398981,Yes
"Fresno, CA",171.502,36.787755,-119.76111399999999,0.9191506550985282,0.011398363131827603,5246,0.9300096980929002,0.8290557822165975,985,0.4813,701045,0.2348281198619348,0.5615969940234601,0.20357488611460514,No
